iter	Logloss
0	0.6743695986
1	0.6571165326
2	0.6415253613
3	0.6262749243
4	0.6115338469
5	0.6007934026
6	0.5897797228
7	0.5771531139
8	0.5656232867
9	0.5545456715
10	0.5446410647
11	0.5353865111
12	0.5276339107
13	0.5187582031
14	0.5117658456
15	0.5047771349
16	0.4987395994
17	0.4912937374
18	0.4841646812
19	0.4777063043
20	0.4705728391
21	0.4651533504
22	0.4597732625
23	0.4543234752
24	0.4500818289
25	0.4449318903
26	0.4396820207
27	0.4353461564
28	0.4305467333
29	0.4275992228
30	0.4238982754
31	0.4197361517
32	0.4165434525
33	0.4130137533
34	0.4094357078
35	0.4069681337
36	0.4046501833
37	0.4018975514
38	0.3992626084
39	0.3974214804
40	0.3952268274
41	0.3935134342
42	0.3914910881
43	0.3896244656
44	0.3879376625
45	0.3866654335
46	0.3847748984
47	0.3832585967
48	0.3818007198
49	0.380325727
50	0.3785494975
51	0.3768263094
52	0.3756047607
53	0.3744227235
54	0.3731227762
55	0.3714705475
56	0.3700271338
57	0.3686484967
58	0.3671044977
59	0.3660772439
60	0.3645631619
61	0.3634029319
62	0.3621925452
63	0.3614622867
64	0.3605295722
65	0.3597689892
66	0.3587878526
67	0.357474574
68	0.3564795707
69	0.3555133949
70	0.3544068544
71	0.3535079707
72	0.352903532
73	0.352164205
74	0.3513636232
75	0.3507069263
76	0.3500452869
77	0.3490450881
78	0.348514373
79	0.3478485112
80	0.347124166
81	0.3467014719
82	0.3462925802
83	0.3455539544
84	0.3448890141
85	0.3443115011
86	0.3438545732
87	0.3433756913
88	0.3428966682
89	0.3423721296
90	0.341900727
91	0.3414951724
92	0.3410109568
93	0.3404698397
94	0.340097989
95	0.3396234986
96	0.3390663325
97	0.3385156966
98	0.3381480195
99	0.3376372343
100	0.3370704409
101	0.336832978
102	0.3364976548
103	0.3359457005
104	0.3354353503
105	0.3350857579
106	0.3345040509
107	0.3340918311
108	0.333519245
109	0.3329603561
110	0.3326931719
111	0.3325343639
112	0.3321842559
113	0.3319395169
114	0.3314699989
115	0.3313217942
116	0.3309458253
117	0.3306895329
118	0.330607518
119	0.3303135523
120	0.3300090426
121	0.3296737597
122	0.3294336309
123	0.3292268517
124	0.3290259243
125	0.3286869593
126	0.3283158223
127	0.3280486251
128	0.3277370266
129	0.3274690851
130	0.3272166114
131	0.3270136454
132	0.3267647841
133	0.3265609396
134	0.3262718479
135	0.3258800089
136	0.3257125155
137	0.3255701258
138	0.3252548117
139	0.3249887639
140	0.324905035
141	0.3246925424
142	0.3244868377
143	0.324291765
144	0.3239881112
145	0.3238706979
146	0.3235476167
147	0.3232601641
148	0.3230281088
149	0.322885866
150	0.3226204845
151	0.322347376
152	0.3221187633
153	0.3218893111
154	0.321689236
155	0.3215326152
156	0.3212296987
157	0.3210254422
158	0.320715207
159	0.3205100425
160	0.3201781182
161	0.3199294592
162	0.3198471367
163	0.3195934329
164	0.3194780418
165	0.3193259404
166	0.3191741673
167	0.3189803746
168	0.3187222758
169	0.3184848271
170	0.3182951473
171	0.3180498003
172	0.3178985425
173	0.3176793444
174	0.3174203048
175	0.3173052233
176	0.3171122754
177	0.3169964406
178	0.3168362454
179	0.316627262
180	0.3163167195
181	0.3161621501
182	0.315986519
183	0.3158764096
184	0.315642112
185	0.315410915
186	0.3151211042
187	0.3149852688
188	0.3147361385
189	0.3145908713
190	0.3143075085
191	0.3141424469
192	0.3139473156
193	0.3137681148
194	0.3135980772
195	0.3134907931
196	0.3133434614
197	0.3132000083
198	0.3130725034
199	0.3128855646
200	0.3127576151
201	0.3125874926
202	0.3124849631
203	0.3122895168
204	0.312081802
205	0.3119054708
206	0.3116797809
207	0.3115599296
208	0.311405155
209	0.3111905503
210	0.311094995
211	0.3109561279
212	0.3107725037
213	0.3104552786
214	0.3103572366
215	0.3102426981
216	0.3101814136
217	0.3100736684
218	0.3099105608
219	0.3098323857
220	0.3096547257
221	0.309467524
222	0.3092726532
223	0.309160323
224	0.3089278997
225	0.3088003875
226	0.3086761754
227	0.3084198618
228	0.3082751262
229	0.3081924823
230	0.3079719923
231	0.3077153394
232	0.3075286197
233	0.3073802772
234	0.3072998485
235	0.3071674039
236	0.3070276334
237	0.3068741269
238	0.3067108756
239	0.3065948044
240	0.3064048707
241	0.3062480241
242	0.3060035455
243	0.3058605799
244	0.3057799721
245	0.3056687817
246	0.3055192994
247	0.3053510737
248	0.3052247238
249	0.3050917951
250	0.3049987262
251	0.3048888887
252	0.304795382
253	0.3047131147
254	0.3045471525
255	0.3043661221
256	0.3042657723
257	0.3040997131
258	0.3039303598
259	0.3038074707
260	0.3036006188
261	0.3034591591
262	0.3033220387
263	0.3032074927
264	0.3031251255
265	0.3029407438
266	0.3028357569
267	0.3026728982
268	0.3025461093
269	0.3024633756
270	0.3023422363
271	0.3022410195
272	0.3020488797
273	0.3018240507
274	0.3016901073
275	0.3015609742
