iter	Passed	Remaining
0	4	370
1	7	310
2	11	289
3	13	260
4	16	251
5	20	247
6	23	243
7	26	240
8	30	238
9	33	231
10	36	231
11	41	232
12	44	230
13	47	225
14	51	223
15	54	218
16	58	216
17	62	214
18	65	210
19	67	201
20	71	201
21	75	199
22	78	195
23	82	192
24	85	188
25	89	186
26	93	183
27	96	179
28	99	175
29	103	171
30	104	165
31	108	162
32	111	158
33	114	154
34	117	151
35	121	148
36	124	145
37	128	141
38	131	138
39	134	134
40	138	131
41	141	128
42	145	124
43	148	121
44	151	118
45	155	114
46	158	111
47	162	108
48	165	104
49	167	100
50	170	97
51	173	93
52	176	89
53	179	86
54	182	82
55	185	79
56	186	75
57	188	71
58	191	68
59	194	64
60	197	61
61	199	57
62	202	54
63	205	51
64	207	47
65	210	44
66	212	41
67	215	38
68	218	34
69	221	31
70	224	28
71	227	25
72	230	22
73	233	18
74	236	15
75	238	12
76	241	9
77	242	6
78	243	3
79	246	0
